ENSG00000000003	ENST00000373020	TSPAN6	0
ENSG00000002016	ENST00000468231	RAD52	8
ENSG00000002016	ENST00000536177	RAD52	0
ENSG00000002016	ENST00000539046	RAD52	0
ENSG00000002016	ENST00000541619	RAD52	0
ENSG00000002016	ENST00000542785	RAD52	3
ENSG00000002016	ENST00000543912	RAD52	0
ENSG00000002016	ENST00000544742	RAD52	0
ENSG00000002016	ENST00000545564	RAD52	0
ENSG00000002330	ENST00000309032	BAD	0
ENSG00000002330	ENST00000394531	BAD	0
ENSG00000002330	ENST00000394532	BAD	0
ENSG00000002330	ENST00000492141	BAD	3
ENSG00000002330	ENST00000493798	BAD	3
ENSG00000002330	ENST00000544785	BAD	0
ENSG00000002549	ENST00000226299	LAP3	0
ENSG00000002549	ENST00000509583	LAP3	3
ENSG00000002549	ENST00000513105	LAP3	3
ENSG00000002549	ENST00000606142	LAP3	8
ENSG00000002586	ENST00000381177	CD99	3
ENSG00000002586	ENST00000381180	CD99	0
ENSG00000002586	ENST00000381184	CD99	12
ENSG00000002586	ENST00000381187	CD99	0
ENSG00000002586	ENST00000381192	CD99	0
ENSG00000002586	ENST00000449611	CD99	3
ENSG00000002587	ENST00000002596	HS3ST1	0
ENSG00000002587	ENST00000510712	HS3ST1	3
ENSG00000002587	ENST00000514690	HS3ST1	3
ENSG00000002726	ENST00000360937	AOC1	0
ENSG00000002726	ENST00000416793	AOC1	0
ENSG00000002726	ENST00000460213	AOC1	3
ENSG00000002726	ENST00000467291	AOC1	0
ENSG00000002726	ENST00000483043	AOC1	3
ENSG00000002726	ENST00000493429	AOC1	0
ENSG00000002745	ENST00000222462	WNT16	0
ENSG00000002745	ENST00000361301	WNT16	0
ENSG00000002746	ENST00000395891	HECW1	0
ENSG00000002746	ENST00000429529	HECW1	3
ENSG00000002746	ENST00000453890	HECW1	0
ENSG00000002822	ENST00000265854	MAD1L1	0
ENSG00000002822	ENST00000399654	MAD1L1	0
ENSG00000002822	ENST00000402746	MAD1L1	0
ENSG00000002822	ENST00000406869	MAD1L1	0
ENSG00000002822	ENST00000421113	MAD1L1	3
ENSG00000002822	ENST00000429625	MAD1L1	3
ENSG00000002822	ENST00000429779	MAD1L1	3
ENSG00000002822	ENST00000437877	MAD1L1	3
ENSG00000002822	ENST00000438959	MAD1L1	3
ENSG00000002822	ENST00000444373	MAD1L1	3
ENSG00000002822	ENST00000445959	MAD1L1	3
ENSG00000002822	ENST00000450235	MAD1L1	3
ENSG00000002822	ENST00000455998	MAD1L1	3
ENSG00000002834	ENST00000318008	LASP1	0
ENSG00000002834	ENST00000419929	LASP1	3
ENSG00000002834	ENST00000433206	LASP1	0
ENSG00000002834	ENST00000435347	LASP1	0
ENSG00000002834	ENST00000443937	LASP1	0
ENSG00000002834	ENST00000579123	LASP1	3
ENSG00000002834	ENST00000585841	LASP1	0
ENSG00000002919	ENST00000359238	SNX11	0
ENSG00000002919	ENST00000393405	SNX11	0
ENSG00000002919	ENST00000439357	SNX11	0
ENSG00000002919	ENST00000452859	SNX11	0
ENSG00000002919	ENST00000580219	SNX11	0
ENSG00000002919	ENST00000581298	SNX11	3
ENSG00000002919	ENST00000581705	SNX11	8
ENSG00000002919	ENST00000582104	SNX11	0
ENSG00000002919	ENST00000582481	SNX11	3
ENSG00000002919	ENST00000583320	SNX11	0
ENSG00000002919	ENST00000584335	SNX11	3
ENSG00000002933	ENST00000004103	TMEM176A	0
ENSG00000002933	ENST00000461345	TMEM176A	0
ENSG00000002933	ENST00000468689	TMEM176A	3
ENSG00000002933	ENST00000475536	TMEM176A	3
ENSG00000002933	ENST00000484928	TMEM176A	0
ENSG00000003056	ENST00000000412	M6PR	0
ENSG00000003056	ENST00000537621	M6PR	3
ENSG00000003056	ENST00000539143	M6PR	3
ENSG00000003056	ENST00000541507	M6PR	0
ENSG00000003056	ENST00000543159	M6PR	3
ENSG00000003056	ENST00000543258	M6PR	11
ENSG00000003056	ENST00000543704	M6PR	3
ENSG00000003056	ENST00000543845	M6PR	3
ENSG00000003056	ENST00000544193	M6PR	3
ENSG00000003056	ENST00000544245	M6PR	3
ENSG00000003096	ENST00000262820	KLHL13	0
ENSG00000003096	ENST00000371876	KLHL13	0
ENSG00000003096	ENST00000371878	KLHL13	0
ENSG00000003096	ENST00000371882	KLHL13	0
ENSG00000003096	ENST00000447671	KLHL13	0
ENSG00000003096	ENST00000453826	KLHL13	3
ENSG00000003096	ENST00000469946	KLHL13	0
ENSG00000003096	ENST00000539496	KLHL13	0
ENSG00000003096	ENST00000540167	KLHL13	0
ENSG00000003096	ENST00000541812	KLHL13	0
ENSG00000003096	ENST00000545703	KLHL13	0
ENSG00000003137	ENST00000001146	CYP26B1	0
ENSG00000003137	ENST00000412253	CYP26B1	0
ENSG00000003137	ENST00000461519	CYP26B1	3
ENSG00000003137	ENST00000474509	CYP26B1	3
ENSG00000003137	ENST00000546307	CYP26B1	0
ENSG00000003147	ENST00000265577	ICA1	0
ENSG00000003147	ENST00000317367	ICA1	11
ENSG00000003147	ENST00000339809	ICA1	0
ENSG00000003147	ENST00000396675	ICA1	0
ENSG00000003147	ENST00000401396	ICA1	8
ENSG00000003147	ENST00000402384	ICA1	0
ENSG00000003147	ENST00000406470	ICA1	0
ENSG00000003147	ENST00000407906	ICA1	0
ENSG00000003147	ENST00000422063	ICA1	0
ENSG00000003147	ENST00000430867	ICA1	3
ENSG00000003147	ENST00000446305	ICA1	3
ENSG00000003147	ENST00000447326	ICA1	3
ENSG00000003147	ENST00000455539	ICA1	8
ENSG00000003147	ENST00000457755	ICA1	12
ENSG00000003249	ENST00000002501	DBNDD1	0
ENSG00000003249	ENST00000304733	DBNDD1	0
ENSG00000003249	ENST00000392973	DBNDD1	0
ENSG00000003249	ENST00000568330	DBNDD1	3
ENSG00000003249	ENST00000568838	DBNDD1	0
ENSG00000003393	ENST00000264276	ALS2	4
ENSG00000003393	ENST00000409632	ALS2	3
ENSG00000003393	ENST00000410052	ALS2	3
ENSG00000003393	ENST00000439495	ALS2	7
ENSG00000003393	ENST00000457679	ALS2	4
ENSG00000003393	ENST00000467448	ALS2	0
ENSG00000003400	ENST00000272879	CASP10	0
ENSG00000003400	ENST00000286186	CASP10	0
ENSG00000003400	ENST00000313728	CASP10	0
ENSG00000003400	ENST00000346817	CASP10	0
ENSG00000003400	ENST00000360132	CASP10	0
ENSG00000003400	ENST00000374650	CASP10	0
ENSG00000003400	ENST00000438843	CASP10	8
ENSG00000003400	ENST00000448480	CASP10	0
ENSG00000003402	ENST00000309955	CFLAR	0
ENSG00000003402	ENST00000340870	CFLAR	0
ENSG00000003402	ENST00000341222	CFLAR	0
ENSG00000003402	ENST00000341582	CFLAR	0
ENSG00000003402	ENST00000342795	CFLAR	0
ENSG00000003402	ENST00000355558	CFLAR	0
ENSG00000003402	ENST00000395148	CFLAR	0
ENSG00000003402	ENST00000417748	CFLAR	3
ENSG00000003402	ENST00000423241	CFLAR	0
ENSG00000003402	ENST00000425030	CFLAR	3
ENSG00000003402	ENST00000433445	CFLAR	3
ENSG00000003402	ENST00000439154	CFLAR	8
ENSG00000003402	ENST00000440180	CFLAR	0
ENSG00000003402	ENST00000441224	CFLAR	3
ENSG00000003402	ENST00000443227	CFLAR	0
ENSG00000003402	ENST00000457277	CFLAR	0
ENSG00000003402	ENST00000462763	CFLAR	3
ENSG00000003402	ENST00000470178	CFLAR	3
ENSG00000003402	ENST00000479953	CFLAR	0
ENSG00000003402	ENST00000494258	CFLAR	0
ENSG00000003436	ENST00000233156	TFPI	0
ENSG00000003436	ENST00000339091	TFPI	0
ENSG00000003436	ENST00000392365	TFPI	0
ENSG00000003436	ENST00000409676	TFPI	0
ENSG00000003436	ENST00000417013	TFPI	3
ENSG00000003436	ENST00000420747	TFPI	3
ENSG00000003436	ENST00000421427	TFPI	3
ENSG00000003436	ENST00000426055	TFPI	3
ENSG00000003436	ENST00000435414	TFPI	3
ENSG00000003436	ENST00000437725	TFPI	3
ENSG00000003436	ENST00000453013	TFPI	3
ENSG00000003509	ENST00000002125	NDUFAF7	0
ENSG00000003509	ENST00000336237	NDUFAF7	0
ENSG00000003509	ENST00000416653	NDUFAF7	3
ENSG00000003509	ENST00000431821	NDUFAF7	3
ENSG00000003509	ENST00000432075	NDUFAF7	3
ENSG00000003509	ENST00000439218	NDUFAF7	3
ENSG00000003509	ENST00000441905	NDUFAF7	3
ENSG00000003509	ENST00000455230	NDUFAF7	0
ENSG00000003756	ENST00000347869	RBM5	0
ENSG00000003756	ENST00000395174	RBM5	11
ENSG00000003756	ENST00000404526	RBM5	3
ENSG00000003756	ENST00000417905	RBM5	3
ENSG00000003756	ENST00000437500	RBM5	3
ENSG00000003756	ENST00000438369	RBM5	0
ENSG00000003756	ENST00000441305	RBM5	3
ENSG00000003756	ENST00000469838	RBM5	0
ENSG00000003987	ENST00000180173	MTMR7	0
ENSG00000003987	ENST00000398099	MTMR7	0
ENSG00000003987	ENST00000517317	MTMR7	8
ENSG00000003987	ENST00000521857	MTMR7	0
ENSG00000003989	ENST00000004531	SLC7A2	0
ENSG00000003989	ENST00000398090	SLC7A2	0
ENSG00000003989	ENST00000470360	SLC7A2	0
ENSG00000003989	ENST00000494857	SLC7A2	0
ENSG00000003989	ENST00000522656	SLC7A2	0
ENSG00000004059	ENST00000000233	ARF5	0
ENSG00000004059	ENST00000415666	ARF5	3
ENSG00000004139	ENST00000457710	SARM1	0
ENSG00000004139	ENST00000578128	SARM1	3
ENSG00000004139	ENST00000579593	SARM1	11
ENSG00000004139	ENST00000582323	SARM1	11
ENSG00000004142	ENST00000540200	POLDIP2	20
ENSG00000004399	ENST00000324093	PLXND1	0
ENSG00000004399	ENST00000393239	PLXND1	0
ENSG00000004399	ENST00000504689	PLXND1	0
ENSG00000004399	ENST00000505237	PLXND1	3
ENSG00000004399	ENST00000505665	PLXND1	11
ENSG00000004399	ENST00000506979	PLXND1	3
ENSG00000004399	ENST00000512744	PLXND1	3
ENSG00000004455	ENST00000354858	AK2	0
ENSG00000004455	ENST00000373449	AK2	8
ENSG00000004455	ENST00000467905	AK2	8
ENSG00000004455	ENST00000480134	AK2	0
ENSG00000004455	ENST00000487289	AK2	0
ENSG00000004455	ENST00000548033	AK2	8
ENSG00000004455	ENST00000550338	AK2	0
ENSG00000004468	ENST00000226279	CD38	0
ENSG00000004468	ENST00000502843	CD38	8
ENSG00000004468	ENST00000510674	CD38	3
ENSG00000004478	ENST00000001008	FKBP4	0
ENSG00000004478	ENST00000538622	FKBP4	3
ENSG00000004478	ENST00000539181	FKBP4	3
ENSG00000004478	ENST00000543769	FKBP4	0
ENSG00000004478	ENST00000544366	FKBP4	3
ENSG00000004487	ENST00000356634	KDM1A	0
ENSG00000004487	ENST00000400181	KDM1A	8
ENSG00000004487	ENST00000465864	KDM1A	3
ENSG00000004487	ENST00000494920	KDM1A	3
ENSG00000004487	ENST00000542151	KDM1A	8
ENSG00000004534	ENST00000266022	RBM6	0
ENSG00000004534	ENST00000419610	RBM6	0
ENSG00000004534	ENST00000421682	RBM6	0
ENSG00000004534	ENST00000422955	RBM6	0
ENSG00000004534	ENST00000425608	RBM6	8
ENSG00000004534	ENST00000433811	RBM6	3
ENSG00000004534	ENST00000434592	RBM6	0
ENSG00000004534	ENST00000438912	RBM6	11
ENSG00000004534	ENST00000442092	RBM6	0
ENSG00000004534	ENST00000443081	RBM6	0
ENSG00000004534	ENST00000446471	RBM6	3
ENSG00000004534	ENST00000454079	RBM6	0
ENSG00000004534	ENST00000539992	RBM6	0
ENSG00000004660	ENST00000158166	CAMKK1	0
ENSG00000004660	ENST00000348335	CAMKK1	0
ENSG00000004660	ENST00000381769	CAMKK1	0
ENSG00000004660	ENST00000381771	CAMKK1	0
ENSG00000004700	ENST00000314748	RECQL	3
ENSG00000004700	ENST00000396093	RECQL	3
ENSG00000004700	ENST00000421138	RECQL	0
ENSG00000004700	ENST00000444129	RECQL	0
ENSG00000004700	ENST00000536240	RECQL	3
ENSG00000004700	ENST00000536964	RECQL	3
ENSG00000004700	ENST00000539672	RECQL	11
ENSG00000004700	ENST00000542432	RECQL	3
ENSG00000004766	ENST00000251739	CCDC132	0
ENSG00000004766	ENST00000305866	CCDC132	4
ENSG00000004766	ENST00000317751	CCDC132	0
ENSG00000004766	ENST00000436177	CCDC132	12
ENSG00000004766	ENST00000438395	CCDC132	8
ENSG00000004766	ENST00000441602	CCDC132	12
ENSG00000004766	ENST00000443443	CCDC132	7
ENSG00000004766	ENST00000458530	CCDC132	3
ENSG00000004766	ENST00000458707	CCDC132	3
ENSG00000004766	ENST00000535481	CCDC132	4
ENSG00000004766	ENST00000541136	CCDC132	8
ENSG00000004766	ENST00000544910	CCDC132	12
ENSG00000004776	ENST00000004982	HSPB6	0
ENSG00000004776	ENST00000587965	HSPB6	0
ENSG00000004776	ENST00000592984	HSPB6	0
ENSG00000004777	ENST00000007510	ARHGAP33	8
ENSG00000004777	ENST00000314737	ARHGAP33	8
ENSG00000004777	ENST00000378944	ARHGAP33	0
ENSG00000004777	ENST00000587447	ARHGAP33	3
ENSG00000004777	ENST00000588248	ARHGAP33	3
ENSG00000004777	ENST00000590893	ARHGAP33	8
ENSG00000004779	ENST00000007516	NDUFAB1	0
ENSG00000004779	ENST00000484769	NDUFAB1	0
ENSG00000004779	ENST00000562133	NDUFAB1	3
ENSG00000004779	ENST00000567761	NDUFAB1	3
ENSG00000004779	ENST00000570319	NDUFAB1	0
ENSG00000004799	ENST00000005178	PDK4	0
ENSG00000004809	ENST00000330550	SLC22A16	0
ENSG00000004809	ENST00000368919	SLC22A16	0
ENSG00000004809	ENST00000424139	SLC22A16	3
ENSG00000004809	ENST00000434949	SLC22A16	3
ENSG00000004809	ENST00000437378	SLC22A16	3
ENSG00000004809	ENST00000439654	SLC22A16	0
ENSG00000004809	ENST00000451557	SLC22A16	3
ENSG00000004809	ENST00000456137	SLC22A16	0
ENSG00000004838	ENST00000231749	ZMYND10	0
ENSG00000004838	ENST00000360165	ZMYND10	0
ENSG00000004838	ENST00000431869	ZMYND10	0
ENSG00000004838	ENST00000442887	ZMYND10	3
ENSG00000004838	ENST00000443080	ZMYND10	0
ENSG00000004846	ENST00000258738	ABCB5	0
ENSG00000004846	ENST00000404938	ABCB5	0
ENSG00000004846	ENST00000406935	ABCB5	8
ENSG00000004846	ENST00000441315	ABCB5	11
ENSG00000004846	ENST00000443026	ABCB5	0
ENSG00000004848	ENST00000379044	ARX	0
ENSG00000004864	ENST00000265631	SLC25A13	8
ENSG00000004864	ENST00000416240	SLC25A13	8
ENSG00000004864	ENST00000472162	SLC25A13	8
ENSG00000004864	ENST00000542654	SLC25A13	8
ENSG00000004866	ENST00000265437	ST7	0
ENSG00000004866	ENST00000323984	ST7	0
ENSG00000004866	ENST00000393443	ST7	8
ENSG00000004866	ENST00000393444	ST7	0
ENSG00000004866	ENST00000393446	ST7	0
ENSG00000004866	ENST00000393447	ST7	0
ENSG00000004866	ENST00000393449	ST7	0
ENSG00000004866	ENST00000393451	ST7	0
ENSG00000004866	ENST00000417919	ST7	11
ENSG00000004866	ENST00000420755	ST7	11
ENSG00000004866	ENST00000421345	ST7	3
ENSG00000004866	ENST00000422922	ST7	8
ENSG00000004866	ENST00000432298	ST7	8
ENSG00000004866	ENST00000434836	ST7	3
ENSG00000004866	ENST00000438863	ST7	8
ENSG00000004866	ENST00000443979	ST7	0
ENSG00000004866	ENST00000446490	ST7	3
ENSG00000004866	ENST00000449366	ST7	11
ENSG00000004866	ENST00000465133	ST7	0
ENSG00000004866	ENST00000477742	ST7	3
ENSG00000004866	ENST00000490039	ST7	3
ENSG00000004897	ENST00000066544	CDC27	0
ENSG00000004897	ENST00000446365	CDC27	0
ENSG00000004897	ENST00000526866	CDC27	0
ENSG00000004897	ENST00000527547	CDC27	0
ENSG00000004897	ENST00000531206	CDC27	0
ENSG00000004897	ENST00000532893	CDC27	0
ENSG00000004897	ENST00000533415	CDC27	0
ENSG00000004897	ENST00000570740	CDC27	11
ENSG00000004897	ENST00000570818	CDC27	11
ENSG00000004897	ENST00000571643	CDC27	3
ENSG00000004897	ENST00000573502	CDC27	3
ENSG00000004897	ENST00000573550	CDC27	3
ENSG00000004897	ENST00000574304	CDC27	3
ENSG00000004897	ENST00000575483	CDC27	3
ENSG00000004897	ENST00000576484	CDC27	3
ENSG00000004939	ENST00000262418	SLC4A1	8
ENSG00000004948	ENST00000359558	CALCR	4
ENSG00000004948	ENST00000360249	CALCR	0
ENSG00000004948	ENST00000394441	CALCR	0
ENSG00000004948	ENST00000415529	CALCR	0
ENSG00000004948	ENST00000421592	CALCR	0
ENSG00000004948	ENST00000423724	CALCR	0
ENSG00000004948	ENST00000426151	CALCR	0
ENSG00000004961	ENST00000321143	HCCS	0
ENSG00000004961	ENST00000380762	HCCS	0
ENSG00000004961	ENST00000380763	HCCS	0
ENSG00000004975	ENST00000005340	DVL2	0
ENSG00000004975	ENST00000574143	DVL2	11
ENSG00000004975	ENST00000575086	DVL2	3
ENSG00000004975	ENST00000575458	DVL2	0
ENSG00000004975	ENST00000575756	DVL2	3
ENSG00000005001	ENST00000161006	PRSS22	0
ENSG00000005001	ENST00000571228	PRSS22	0
ENSG00000005001	ENST00000576381	PRSS22	3
ENSG00000005007	ENST00000262803	UPF1	0
ENSG00000005007	ENST00000599848	UPF1	0
ENSG00000005020	ENST00000345317	SKAP2	0
ENSG00000005020	ENST00000432747	SKAP2	3
ENSG00000005020	ENST00000539623	SKAP2	0
ENSG00000005022	ENST00000317881	SLC25A5	0
ENSG00000005059	ENST00000394650	CCDC109B	0
ENSG00000005059	ENST00000452915	CCDC109B	7
ENSG00000005073	ENST00000006015	HOXA11	0
ENSG00000005073	ENST00000517402	HOXA11	3
ENSG00000005075	ENST00000292614	POLR2J	0
ENSG00000005075	ENST00000393794	POLR2J	0
ENSG00000005100	ENST00000225296	DHX33	0
ENSG00000005100	ENST00000433302	DHX33	0
ENSG00000005100	ENST00000572490	DHX33	3
ENSG00000005100	ENST00000574023	DHX33	3
ENSG00000005102	ENST00000318579	MEOX1	0
ENSG00000005102	ENST00000329168	MEOX1	0
ENSG00000005102	ENST00000393661	MEOX1	0
ENSG00000005102	ENST00000549132	MEOX1	0
ENSG00000005108	ENST00000423059	THSD7A	8
ENSG00000005156	ENST00000262327	LIG3	0
ENSG00000005156	ENST00000378526	LIG3	0
ENSG00000005156	ENST00000585370	LIG3	3
ENSG00000005156	ENST00000585740	LIG3	3
ENSG00000005156	ENST00000585941	LIG3	3
ENSG00000005156	ENST00000588109	LIG3	11
ENSG00000005156	ENST00000592690	LIG3	3
ENSG00000005175	ENST00000005386	RPAP3	0
ENSG00000005175	ENST00000380650	RPAP3	0
ENSG00000005175	ENST00000432584	RPAP3	0
ENSG00000005187	ENST00000289416	ACSM3	0
ENSG00000005187	ENST00000440284	ACSM3	0
ENSG00000005187	ENST00000450120	ACSM3	0
ENSG00000005187	ENST00000561584	ACSM3	3
ENSG00000005187	ENST00000561795	ACSM3	3
ENSG00000005187	ENST00000562251	ACSM3	3
ENSG00000005187	ENST00000563914	ACSM3	3
ENSG00000005187	ENST00000564701	ACSM3	3
ENSG00000005187	ENST00000568235	ACSM3	3
ENSG00000005187	ENST00000569141	ACSM3	3
ENSG00000005189	ENST00000261377	AC004381.6	4
ENSG00000005189	ENST00000348433	AC004381.6	4
ENSG00000005189	ENST00000561474	AC004381.6	11
ENSG00000005189	ENST00000563068	AC004381.6	3
ENSG00000005189	ENST00000563617	AC004381.6	7
ENSG00000005189	ENST00000564274	AC004381.6	4
ENSG00000005189	ENST00000565340	AC004381.6	3
ENSG00000005189	ENST00000566276	AC004381.6	7
ENSG00000005189	ENST00000566518	AC004381.6	8
ENSG00000005189	ENST00000566993	AC004381.6	8
ENSG00000005189	ENST00000568046	AC004381.6	3
ENSG00000005189	ENST00000568501	AC004381.6	3
ENSG00000005189	ENST00000568647	AC004381.6	11
ENSG00000005189	ENST00000568894	AC004381.6	3
ENSG00000005194	ENST00000394391	CIAPIN1	0
ENSG00000005194	ENST00000563341	CIAPIN1	3
ENSG00000005194	ENST00000565786	CIAPIN1	11
ENSG00000005194	ENST00000565961	CIAPIN1	0
ENSG00000005194	ENST00000567518	CIAPIN1	0
ENSG00000005194	ENST00000567751	CIAPIN1	3
ENSG00000005194	ENST00000568940	CIAPIN1	0
ENSG00000005194	ENST00000569370	CIAPIN1	0
ENSG00000005194	ENST00000569979	CIAPIN1	0
ENSG00000005194	ENST00000570000	CIAPIN1	8
ENSG00000005238	ENST00000322813	FAM214B	0
ENSG00000005238	ENST00000378554	FAM214B	4
ENSG00000005238	ENST00000378557	FAM214B	0
ENSG00000005238	ENST00000378561	FAM214B	0
ENSG00000005238	ENST00000378566	FAM214B	0
ENSG00000005238	ENST00000488109	FAM214B	0
ENSG00000005238	ENST00000603301	FAM214B	0
ENSG00000005238	ENST00000605244	FAM214B	0
ENSG00000005243	ENST00000006101	COPZ2	28
ENSG00000005243	ENST00000579263	COPZ2	11
ENSG00000005243	ENST00000580174	COPZ2	3
ENSG00000005243	ENST00000581637	COPZ2	3
ENSG00000005243	ENST00000581756	COPZ2	3
ENSG00000005243	ENST00000583414	COPZ2	3
ENSG00000005243	ENST00000584955	COPZ2	3
ENSG00000005249	ENST00000265717	PRKAR2B	0
ENSG00000005302	ENST00000312196	MSL3	0
ENSG00000005302	ENST00000337339	MSL3	0
ENSG00000005302	ENST00000361672	MSL3	0
ENSG00000005302	ENST00000380691	MSL3	3
ENSG00000005302	ENST00000380692	MSL3	3
ENSG00000005302	ENST00000380693	MSL3	0
ENSG00000005302	ENST00000398527	MSL3	0
ENSG00000005302	ENST00000421368	MSL3	3
ENSG00000005302	ENST00000468149	MSL3	12
ENSG00000005302	ENST00000476743	MSL3	3
ENSG00000005339	ENST00000262367	CREBBP	0
ENSG00000005339	ENST00000382070	CREBBP	0
ENSG00000005339	ENST00000570939	CREBBP	3
ENSG00000005339	ENST00000571826	CREBBP	3
ENSG00000005339	ENST00000572134	CREBBP	3
ENSG00000005339	ENST00000573517	CREBBP	3
ENSG00000005379	ENST00000268893	BZRAP1	0
ENSG00000005379	ENST00000343736	BZRAP1	0
ENSG00000005379	ENST00000355701	BZRAP1	0
ENSG00000005379	ENST00000580669	BZRAP1	3
ENSG00000005379	ENST00000581675	BZRAP1	3
ENSG00000005379	ENST00000582679	BZRAP1	3
ENSG00000005381	ENST00000225275	MPO	0
ENSG00000005381	ENST00000340482	MPO	0
ENSG00000005381	ENST00000577220	MPO	3
ENSG00000005421	ENST00000222381	PON1	0
ENSG00000005421	ENST00000433729	PON1	0
ENSG00000005421	ENST00000542556	PON1	0
ENSG00000005436	ENST00000321027	GCFC2	0
ENSG00000005436	ENST00000409857	GCFC2	0
ENSG00000005436	ENST00000427862	GCFC2	3
